"Model","split_num","iter_num","AUC_score"
"AB0",0,0,0.935429818408542
"AB0",1,0,0.950042864936482
"AB0",2,0,0.894357415634011
"AB0",3,0,0.84805128948131
"AB0",4,0,0.912416690814257
"AB0",5,0,0.874601564763837
"AB0",6,0,0.879636337293538
"AB0",7,0,0.82563025210084
"AB0",8,0,0.924550854824688
"AB0",9,0,0.917632570269487
"AB0",0,1,0.937495128984491
"AB0",1,1,0.922687241836178
"AB0",2,1,0.840620372535266
"AB0",3,1,0.943349753694581
"AB0",4,1,0.907309475514344
"AB0",5,1,0.934040857722399
"AB0",6,1,0.833272964358157
"AB0",7,1,0.825883801796581
"AB0",8,1,0.920204288611996
"AB0",9,1,0.935598377281947
"AB0",0,2,0.933754189073338
"AB0",1,2,0.901683422960019
"AB0",2,2,0.962084015275505
"AB0",3,2,0.908758330918574
"AB0",4,2,0.901767603593162
"AB0",5,2,0.891951608229499
"AB0",6,2,0.898978556940017
"AB0",7,2,0.823167197913648
"AB0",8,2,0.872247174731962
"AB0",9,2,0.798101999420458
"AB1",0,0,0.938235523341906
"AB1",1,0,0.942249240121581
"AB1",2,0,0.895409554984023
"AB1",3,0,0.840734569689945
"AB1",4,0,0.849753694581281
"AB1",5,0,0.81545204288612
"AB1",6,0,0.842038539553752
"AB1",7,0,0.818023761228629
"AB1",8,0,0.934040857722399
"AB1",9,0,0.934040857722399
"AB1",0,1,0.901995167952615
"AB1",1,1,0.862520458265139
"AB1",2,1,0.855740004676175
"AB1",3,1,0.941321356128658
"AB1",4,1,0.891879165459287
"AB1",5,1,0.868951028687337
"AB1",6,1,0.811721240220226
"AB1",7,1,0.804621848739496
"AB1",8,1,0.943567082005216
"AB1",9,1,0.935091277890467
"AB1",0,2,0.846309718650144
"AB1",1,2,0.877289377289377
"AB1",2,2,0.974164133738602
"AB1",3,2,0.881556070704144
"AB1",4,2,0.841314111851637
"AB1",5,2,0.882135612865836
"AB1",6,2,0.894523326572008
"AB1",7,2,0.833635178209215
"AB1",8,2,0.878296146044625
"AB1",9,2,0.823167197913648
"AB2",0,0,0.885628555841322
"AB2",1,0,0.932741017847401
"AB2",2,0,0.898371132413686
"AB2",3,0,0.875325992465952
"AB2",4,0,0.889742103738047
"AB2",5,0,0.806396696609678
"AB2",6,0,0.889814546508258
"AB2",7,0,0.797884671109823
"AB2",8,0,0.879745001448855
"AB2",9,0,0.939075630252101
"AB2",0,1,0.879432624113475
"AB2",1,1,0.828618190320318
"AB2",2,1,0.836216974514847
"AB2",3,1,0.953636627064619
"AB2",4,1,0.870617212402202
"AB2",5,1,0.863481599536366
"AB2",6,1,0.800999710228919
"AB2",7,1,0.78046218487395
"AB2",8,1,0.904303100550565
"AB2",9,1,0.920711388003477
"AB2",0,2,0.831190086509235
"AB2",1,2,0.897903514924792
"AB2",2,2,0.976697061803445
"AB2",3,2,0.877716603882933
"AB2",4,2,0.817625325992466
"AB2",5,2,0.871486525644741
"AB2",6,2,0.892929585627354
"AB2",7,2,0.81947261663286
"AB2",8,2,0.865111561866126
"AB2",9,2,0.82939727615184
"AB3",0,0,0.945717403164212
"AB3",1,0,0.948094458732757
"AB3",2,0,0.899228431143325
"AB3",3,0,0.858265720081136
"AB3",4,0,0.877897710808461
"AB3",5,0,0.831787887568821
"AB3",6,0,0.844501593740945
"AB3",7,0,0.86482179078528
"AB3",8,0,0.938496088090409
"AB3",9,0,0.937662996232976
"AB3",0,1,0.915634011378692
"AB3",1,1,0.873236692385629
"AB3",2,1,0.855194450939132
"AB3",3,1,0.935163720660678
"AB3",4,1,0.903433787308027
"AB3",5,1,0.901731382208056
"AB3",6,1,0.857468849608809
"AB3",7,1,0.814727615184005
"AB3",8,1,0.93429440741814
"AB3",9,1,0.939184294407418
"AB3",0,2,0.899929857376666
"AB3",1,2,0.896578598706258
"AB3",2,2,0.970851843192269
"AB3",3,2,0.88278759779774
"AB3",4,2,0.875289771080846
"AB3",5,2,0.886228629382788
"AB3",6,2,0.902854245146334
"AB3",7,2,0.861706751666184
"AB3",8,2,0.838959721819762
"AB3",9,2,0.810924369747899
"AB4",0,0,0.928259683578832
"AB4",1,0,0.942638921362326
"AB4",2,0,0.894396383758086
"AB4",3,0,0.84830483917705
"AB4",4,0,0.84120544769632
"AB4",5,0,0.804259634888438
"AB4",6,0,0.847906403940887
"AB4",7,0,0.779339321935671
"AB4",8,0,0.942625325992466
"AB4",9,0,0.941031585047812
"AB4",0,1,0.90039747486556
"AB4",1,1,0.862832203257735
"AB4",2,1,0.838516093835243
"AB4",3,1,0.943929295856274
"AB4",4,1,0.89177050130397
"AB4",5,1,0.885467980295567
"AB4",6,1,0.789046653144016
"AB4",7,1,0.824869603013619
"AB4",8,1,0.920312952767314
"AB4",9,1,0.935308606201101
"AB4",0,2,0.850206531057595
"AB4",1,2,0.880718572207934
"AB4",2,2,0.980165224846076
"AB4",3,2,0.884453781512605
"AB4",4,2,0.832439872500724
"AB4",5,2,0.884308895972182
"AB4",6,2,0.880614314691394
"AB4",7,2,0.845117357287743
"AB4",8,2,0.845841784989858
"AB4",9,2,0.806432917994784
"AB5",0,0,0.882550074039436
"AB5",1,0,0.936404021510405
"AB5",2,0,0.884732288987608
"AB5",3,0,0.843885830194147
"AB5",4,0,0.817842654303101
"AB5",5,0,0.777600695450594
"AB5",6,0,0.824000289771081
"AB5",7,0,0.766879165459287
"AB5",8,0,0.919008982903506
"AB5",9,0,0.927050130396986
